X,Y,TYPE
2.68111,48.829514,Formula1
2.813057,48.916882,Formula1
2.582315,48.837547,Formula1
5.231391,43.446402,Formula1
5.619905,43.278405,Formula1
5.480469,43.289911,Formula1
5.360815,43.417544,Formula1
5.367772,43.415966,Formula1
5.359114,43.40497,Formula1
5.477241,43.298891,Formula1
5.036551,43.410813,Formula1
3.965852,50.268017,Formula1
1.925386,48.761393,Formula1
2.854786,48.994188,Formula1
2.670958,48.552285,Formula1
2.457794,48.570173,Formula1
6.804963,49.140565,Formula1
6.25142,49.116133,Formula1
6.161438,49.127736,Formula1
6.209511,49.223437,Formula1
6.109145,49.076405,Formula1
2.565354,48.621635,Formula1
1.385684,44.00828,Formula1
4.796287,44.675282,Formula1
2.606554,46.349823,Formula1
3.976939,43.6501,Formula1
3.828641,43.548606,Formula1
3.896082,43.586452,Formula1
2.828775,48.366103,Formula1
3.350055,46.529239,Formula1
7.532763,47.609103,Formula1
7.316487,47.756251,Formula1
7.390174,47.772522,Formula1
7.31204,47.790916,Formula1
6.123364,48.696255,Formula1
6.151919,48.758424,Formula1
6.183895,48.639447,Formula1
-1.501686,47.246415,Formula1
-1.454147,47.283077,Formula1
-1.634198,47.229892,Formula1
-1.614535,47.175105,Formula1
2.987927,43.169191,Formula1
2.718757,48.265995,Formula1
3.150608,47.013597,Formula1
4.422863,43.856748,Formula1
4.34322,43.81497,Formula1
-0.311144,46.348362,Formula1
4.793656,44.137915,Formula1
1.85341,47.893891,Formula1
1.910797,47.860118,Formula1
1.986131,47.92138,Formula1
2.316357,48.82309,Formula1
2.416452,48.855747,Formula1
2.33248,48.901219,Formula1
-0.315471,43.323037,Formula1
0.762017,45.180528,Formula1
2.840708,49.887919,Formula1
2.855875,42.67974,Formula1
1.972678,48.802907,Formula1
0.364592,46.649966,Formula1
0.30296,46.549956,Formula1
6.335331,46.911481,Formula1
2.084214,49.045353,Formula1
3.290742,48.553669,Formula1
-4.074342,48.012453,Formula1
3.974182,49.251984,Formula1
6.596608,48.080574,Formula1
-1.70647,48.154026,Formula1
-1.761585,48.095765,Formula1
-1.62504,48.098699,Formula1
-1.630233,48.079072,Formula1
4.097212,46.00969,Formula1
2.513476,48.988862,Formula1
2.463615,49.01972,Formula1
2.671804,49.049811,Formula1
5.041301,45.02124,Formula1
1.161573,49.402667,Formula1
1.191997,49.249712,Formula1
1.144754,49.491283,Formula1
1.063236,49.399688,Formula1
2.349041,48.755803,Formula1
2.367996,48.937385,Formula1
-0.671118,45.744491,Formula1
5.114016,43.627552,Formula1
2.389042,48.986911,Formula1
7.360606,48.743664,Formula1
2.336918,48.693624,Formula1
2.589198,49.26961,Formula1
3.27648,48.205898,Formula1
3.769015,43.465,Formula1
6.836874,47.511891,Formula1
3.355925,49.397802,Formula1
-2.726616,48.495936,Formula1
6.934409,48.292203,Formula1
4.957915,48.64865,Formula1
-1.073485,49.101071,Formula1
-1.981242,48.616127,Formula1
-2.036069,48.610014,Formula1
-2.210096,47.292211,Formula1
5.1009398,45.6512283,Formula1
2.364227,48.921433,Formula1
4.395649,45.458911,Formula1
4.280781,45.531873,Formula1
4.565456,45.503947,Formula1
2.393126,48.955836,Formula1
7.470782,48.530345,Formula1
7.721872,48.659712,Formula1
7.792921,48.572601,Formula1
7.701054,48.520505,Formula1
4.690128,43.794893,Formula1
0.111669,43.223869,Formula1
6.178559,49.346471,Formula1
6.508752,46.382435,Formula1
6.00311,43.138191,Formula1
5.85942,43.110316,Formula1
6.049447,43.203383,Formula1
1.379575,43.629451,Formula1
1.475369,43.643581,Formula1
1.372959,43.515179,Formula1
1.486912,43.55201,Formula1
1.406411,43.57507,Formula1
0.709049,47.437797,Formula1
0.699007,47.337885,Formula1
2.011073,48.771065,Formula1
4.025454,48.334626,Formula1
4.130614,48.224428,Formula1
4.88253,44.964818,Formula1
3.407355,50.311048,Formula1
-2.768352,47.669989,Formula1
5.397184,49.151214,Formula1
1.454691,49.104726,Formula1
6.139161,47.63011,Formula1
2.434242,48.715466,Formula1
4.739946,45.980396,Formula1
2.525111,48.874193,Formula1
2.435061,48.728946,Formula1
